"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ycjV",0.376060238859964,0.300848191087971,0.75925870900205,0.483510966160165,0.879102183635087,-5.55980030748015
"ilvB",-0.380491211423226,7.50480361426583,-0.759092162514036,0.483601737261775,0.879102183635087,-5.55992472855417
"yeaT",0.375867647657387,0.300694118125909,0.75907330720126,0.483612014557486,0.879102183635087,-5.55993881338443
"eutB",0.429437395694312,5.76951190114871,0.758984833135611,0.483660240440698,0.879102183635087,-5.56000489952046
"rtn",0.635317707780832,0.823415589780109,0.758978174018956,0.483663870366527,0.879102183635087,-5.56000987334161
"racC",0.820749478523975,0.65659958281918,0.758423440393264,0.483966328638246,0.879102183635087,-5.56042409714148
"fabI",0.33767925386292,6.53652639309725,0.758329546926146,0.484017535914704,0.879102183635087,-5.56049418515657
"yjaA",0.823226900435251,0.6585815203482,0.757921429165077,0.484240159425804,0.879102183635087,-5.56079875280682
"yhiS",1.27073945386672,1.01659156309338,0.757657776006908,0.48438401870507,0.879102183635087,-5.56099544350927
"menD",1.16246648791374,2.09824269936143,0.757120124029685,0.484677478413287,0.879102183635087,-5.56139638048583
"trxA",0.829976005535012,0.66398080442801,0.756561426795626,0.484982561688168,0.879102183635087,-5.56181278014635
"yhaM",-0.399734095861552,4.61700924528781,-0.756169781292303,0.485196507434524,0.879102183635087,-5.56210453484158
"nagD",1.28657682316509,1.02926145853207,0.755978231220552,0.485301171180581,0.879102183635087,-5.56224718707901
"insD-6",0.985198189175661,1.2535820851269,0.755340170519877,0.485649928272745,0.879102183635087,-5.56272216717707
"yodC",0.836376978720358,0.669101582976286,0.755282006913221,0.485681728906796,0.879102183635087,-5.56276544956227
"yfjL",0.514082040969242,3.38858675026423,0.754340081860946,0.486196931417829,0.879102183635087,-5.56346602580531
"ydhR",-1.31624300375299,2.95493213565836,-0.752307778182938,0.487309883801165,0.879102183635087,-5.56497530527308
"ybdZ",-1.88992922581075,4.03100801078794,-0.751989908029636,0.487484125899796,0.879102183635087,-5.56521108669494
"kch",-0.572710609052465,5.92172942203681,-0.7517910851869,0.487593134526391,0.879102183635087,-5.56535852534028
"ybdK",0.368593416940163,0.294874733552131,0.751770230544961,0.487604569524943,0.879102183635087,-5.56537398852605
"lsrB",0.839600963050236,0.671680770440189,0.751694843058536,0.48764590754113,0.879102183635087,-5.56542988367373
"ybbL",-0.437155226824977,10.38256804335,-0.750629408112453,0.488230399643408,0.879102183635087,-5.5662193762285
"pgpA",1.49298544915225,1.72086605610312,0.750428671244741,0.488340579495474,0.879102183635087,-5.56636802670916
"nuoI",-1.39818199173228,2.40721968925494,-0.750258567629652,0.488433959516248,0.879102183635087,-5.56649396856
"uvrY",-1.02481124119852,2.88722932129608,-0.75018485786539,0.4884744272071,0.879102183635087,-5.56654853519797
"rpsQ",-1.20043185381944,3.3741394315075,-0.750127781792004,0.488505764432489,0.879102183635087,-5.56659078523554
"cyoE",1.2120703702901,0.969656296232077,0.749134720476168,0.48905123026652,0.879102183635087,-5.56732549321977
"yjfO",0.869539058911251,0.695631247129001,0.748821818804684,0.489223191023563,0.879102183635087,-5.56755683542269
"metK",-0.519215324744803,6.43746639393755,-0.7484023051643,0.489453810752195,0.879102183635087,-5.56786688367622
"yfgH",-1.46736635826337,2.55824137497478,-0.748268596530598,0.489527331032859,0.879102183635087,-5.56796567501401
"ynjC",-0.392759956066851,4.56800686392172,-0.747956738917422,0.489698838261098,0.879102183635087,-5.56819603975743
"yqcA",0.874428141708,0.699542513366401,0.747893798696919,0.489733457717845,0.879102183635087,-5.56824252380956
"lnt",1.28624319480666,2.28498914779971,0.747759406082468,0.489807384548559,0.879102183635087,-5.56834176841559
"cusF",0.876007994786023,0.700806395828818,0.747595278778114,0.489897678779605,0.879102183635087,-5.56846295246185
"dsbG",-0.423210953848892,5.98536279425981,-0.7470358516083,0.490205536388944,0.879102183635087,-5.56887585345996
"yafZ",0.533937061414755,7.37965347962679,0.746950504532886,0.490252515875545,0.879102183635087,-5.56893882529654
"mdtK",-0.625197235515102,5.66088604490286,-0.746795353059485,0.490337927655298,0.879102183635087,-5.56905328684976
"clpB",-0.400095505624743,7.40902277720218,-0.746459525978477,0.490522839106696,0.879102183635087,-5.56930097725956
"hycB",1.14618239651818,2.65160553335775,0.74536126599763,0.491127908206134,0.879102183635087,-5.57011040160853
"yjdF",-1.63665009081794,2.8099877893992,-0.745293346715202,0.491165344898308,0.879102183635087,-5.57016042829484
"yadI",-1.38709450860098,3.48767367837739,-0.74506574702634,0.491290811420591,0.879102183635087,-5.5703280436287
"fhlA",-0.474111967139197,5.49815581962934,-0.744492409524235,0.491606971434658,0.879102183635087,-5.57075010141545
"cobU",0.686651264007932,0.57962071078117,0.744084275381846,0.491832121191161,0.879102183635087,-5.57105039295554
"hokB",0.361443028711542,0.289154422969234,0.744009855178671,0.491873183552551,0.879102183635087,-5.57110513513553
"greB",0.898770797731576,0.71901663818526,0.743368237349447,0.492227307142553,0.879102183635087,-5.5715769220684
"yihX",-0.524046683688568,5.20468611117722,-0.742956860769345,0.49245445166828,0.879102183635087,-5.57187924492117
"yhjD",0.360453405495164,0.288362724396131,0.742889527264304,0.492491637514998,0.879102183635087,-5.5719287163348
"ybiY",-1.34310744989115,3.40305405644297,-0.742714019391534,0.492588573611434,0.879102183635087,-5.57205764952588
"speG",-0.353908903053921,8.34492515853879,-0.742322271683123,0.492804992208904,0.879102183635087,-5.57234535368253
"ydeU",-1.35515601584567,3.38266323540677,-0.742061825926006,0.49294891163057,0.879102183635087,-5.57253656305601
"rhsC",0.387104592584963,7.08437009837304,0.741893362046099,0.493042018959918,0.879102183635087,-5.57266021514272
"moaB",1.02504538962263,5.14802165768967,0.741314865917478,0.493361840726502,0.879102183635087,-5.5730846642755
"alaX",0.914911693316781,0.731929354653425,0.740455076294863,0.493837450614065,0.879102183635087,-5.57371502730788
"yjdJ",-1.51826473164971,3.34180042035375,-0.739605155551907,0.494307924322118,0.879102183635087,-5.57433759710081
"asmA",0.441816364032138,5.13579199128622,0.739247160183461,0.494506188791765,0.879102183635087,-5.5745996638062
"yggG",-0.423865192037432,6.04953677954627,-0.738466767352126,0.494938582197622,0.879102183635087,-5.57517060061459
"yadM",0.340554172867575,11.3146384865083,0.738380457734362,0.494986420513865,0.879102183635087,-5.57523371612262
