"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","g"
"dsrB",-0.783406031569297,7.2721850108633,-1.01126521979599,0.360409849309935,0.879102183635087,-5.34971657042208,"STABLE"
"yciI",0.459303888381116,8.02413524184701,1.00292373398888,0.364032446589352,0.879102183635087,-5.35730249697269,"STABLE"
"chaB",-0.663449470674975,5.75352410262235,-1.0021219150917,0.364382266189458,0.879102183635087,-5.35802964436355,"STABLE"
"ldrC",2.35629169227084,1.88503335381667,0.997272927472635,0.366503785631032,0.879102183635087,-5.36241936740485,"STABLE"
"yciG",2.6841536837216,2.14732294697728,0.997051146074749,0.366601065030938,0.879102183635087,-5.36261982663036,"STABLE"
"ivbL",-2.44498744055797,5.20221705157195,-0.982813246877687,0.372891337505231,0.879102183635087,-5.37543042638202,"STABLE"
"yjdI",-1.52749307418146,2.90540721006232,-0.980097803814079,0.374101126821783,0.879102183635087,-5.37786047898178,"STABLE"
"yjbE",-2.14090857351577,2.94346884459053,-0.965185115880876,0.38080299339862,0.879102183635087,-5.39112950530045,"STABLE"
"rzpR",-1.46105685171821,2.000167278897,-0.965000108033689,0.3808867539052,0.879102183635087,-5.39129330391786,"STABLE"
"yidD",1.9441942950808,2.6697571008635,0.956213700169673,0.384882157239934,0.879102183635087,-5.39904911135344,"STABLE"
"yqgB",-0.811247918786803,9.10547837809844,-0.945984338043124,0.389576824305532,0.879102183635087,-5.40802055546547,"STABLE"
"yrdB",-0.831897707266475,2.87311839666457,-0.945812321338976,0.389656166943732,0.879102183635087,-5.40817088039173,"STABLE"
"rpmA",-2.01390315032273,9.28395640415762,-0.944591226891894,0.390219774317044,0.879102183635087,-5.40923747671763,"STABLE"
"csrA",-0.514797415502973,8.1820406708762,-0.940985875353165,0.391887725961942,0.879102183635087,-5.41238138650974,"STABLE"
"citD",1.41680275436657,2.25402880945512,0.938409418026191,0.393083220892675,0.879102183635087,-5.41462324235105,"STABLE"
"yicS",0.718254378677124,7.68139925798833,0.935765697602891,0.394312998291319,0.879102183635087,-5.41691941084854,"STABLE"
"tdcR",1.63523144279997,1.30818515423998,0.932149945552308,0.39599997600643,0.879102183635087,-5.42005288543923,"STABLE"
"hokD",0.893528091206752,5.46017301233139,0.91946382693047,0.401964979757975,0.879102183635087,-5.43098297195934,"STABLE"
"ppiC",0.506014081295318,11.1447230004682,0.906425701008305,0.408170442482949,0.879102183635087,-5.44211135409632,"STABLE"
"ynaK",0.980562937616927,3.68793956151425,0.900105478769959,0.411205926293948,0.879102183635087,-5.44746700961797,"STABLE"
"bcsF",-2.50423470923045,5.17126322940438,-0.897169763343882,0.412621985329572,0.879102183635087,-5.44994598582001,"STABLE"
"yjhX",-2.40507062361366,4.94169444149463,-0.879850306409943,0.421054842254859,0.879102183635087,-5.46445728858902,"STABLE"
"yaeP",1.49641424166159,2.7183132523009,0.862406725221549,0.429684389205486,0.879102183635087,-5.47887320210721,"STABLE"
"yceO",-1.4557536190456,1.47927611948311,-0.858671360578947,0.431550113644867,0.879102183635087,-5.4819338049054,"STABLE"
"ynfO",0.547146088692845,8.91612125672443,0.855293452629512,0.433242704562978,0.879102183635087,-5.48469342035545,"STABLE"
"ydiT",0.669077302637573,0.535261842110058,0.852358826924253,0.4347173466985,0.879102183635087,-5.48708462069113,"STABLE"
"ydiE",-1.80895195990431,4.47135340299779,-0.844521552458595,0.438674562486547,0.879102183635087,-5.49344187336791,"STABLE"
"ynaE",-1.69866294360856,3.76153329336492,-0.835769798482099,0.443126206507732,0.879102183635087,-5.50049111347966,"STABLE"
"rzoR",1.53250396500684,1.29539207705683,0.835178489143505,0.443428224232437,0.879102183635087,-5.50096548548232,"STABLE"
"ydfD",-0.571240068787617,10.7826868937979,-0.830253019184491,0.445950079759296,0.879102183635087,-5.50490746087486,"STABLE"
"rpmD",-2.13860819659824,3.20543324434303,-0.825962094754852,0.448155949227891,0.879102183635087,-5.50832781285246,"STABLE"
"yrhB",-1.87281908104435,4.48668144393092,-0.824634913850885,0.448839902084275,0.879102183635087,-5.5093831174145,"STABLE"
"ybcO",-0.778488598864704,5.01503057344041,-0.822826271060193,0.449773249380579,0.879102183635087,-5.51081926531298,"STABLE"
"yhbQ",0.525436472073137,6.71009816201423,0.82049993618014,0.450975915939095,0.879102183635087,-5.51266310331792,"STABLE"
"flgM",-2.31420339610895,5.26461052273477,-0.819440671346511,0.451524340850274,0.879102183635087,-5.51350140649848,"STABLE"
"ykgL",0.515025652651898,0.412020522121519,0.813300538421066,0.454713286939829,0.879102183635087,-5.51834508610347,"STABLE"
"slyX",-0.49482508241185,9.84926034475723,-0.813005148732042,0.454867128547987,0.879102183635087,-5.51857743206505,"STABLE"
"ymcE",0.553480910136248,0.442784728108998,0.811182637730821,0.455817176955899,0.879102183635087,-5.52000959995519,"STABLE"
"yebG",0.589078463652323,0.471262770921858,0.806436550450566,0.458298254690985,0.879102183635087,-5.52372806219265,"STABLE"
"ybfQ",-1.35040017933352,5.83132455451492,-0.799636002055655,0.461870982660252,0.879102183635087,-5.52902802037055,"STABLE"
"yzgL",0.733520800144451,5.15411469986413,0.797673516320553,0.462905856712929,0.879102183635087,-5.53055127760296,"STABLE"
"hupB",-2.28358792551151,5.70701201491683,-0.79594711498064,0.46381766754656,0.879102183635087,-5.53188898729604,"STABLE"
"fis",0.651990605156094,0.521592484124875,0.794566748646927,0.464547680858883,0.879102183635087,-5.53295701741111,"STABLE"
"yobH",0.734318694989167,6.10723482303544,0.788757813295527,0.467629141256397,0.879102183635087,-5.53743639116789,"STABLE"
"ykfH",0.414245229606587,0.33139618368527,0.788504723390542,0.467763742009139,0.879102183635087,-5.53763099447797,"STABLE"
"yncJ",1.81466382782493,1.45173106225994,0.784271392799828,0.470019414718622,0.879102183635087,-5.54087910035089,"STABLE"
"yecF",0.763454717038798,0.610763773631038,0.770411494682643,0.477460688170492,0.879102183635087,-5.55142109598764,"STABLE"
"ymdF",0.45597400588967,7.56524588259816,0.769858363595801,0.477759445393182,0.879102183635087,-5.55183886052585,"STABLE"
"cspB",-2.079723348886,3.24004968098442,-0.768155620773173,0.478679990443645,0.879102183635087,-5.55312346385715,"STABLE"
"pmrD",0.764709079727338,0.61176726378187,0.766811323405913,0.479407667230497,0.879102183635087,-5.55413611662987,"STABLE"
